,A,B,C,D
2000-01-01,-0.40498733688913485,0.6706717255261679,-0.720904022370642,-1.0436272932678001
2000-01-02,1.2078724331959982,2.940599488496724,-0.6945111283876146,-2.012271792537553
2000-01-03,0.8667697771719414,2.422142567633885,-0.02834118067067415,-2.0301794240748956
2000-01-04,0.14613878404655622,2.0161012372351608,-0.4860650315076478,-0.2084703144172675
2000-01-05,0.3545577941130764,2.1748912544093093,0.5137947767453033,0.5206209274649444
2000-01-06,1.5838587609533352,3.057910245047079,1.083310050161026,-0.4360881790252388
2000-01-07,1.327530353679416,2.883888882388485,0.656719416730056,-0.6249922640711434
2000-01-08,1.5284986944563994,2.8057625171661638,0.14475899238081424,-0.27096234011762266
2000-01-09,1.0444231120465943,3.024476442238343,-0.9223408563673713,1.0828932334144836
2000-01-10,2.1286012545289967,2.933902355924822,-0.8325524656873109,-0.6385344677225444
2000-01-11,1.6709636937081385,0.9878596952500369,0.24562325326425904,-2.808864497359984
2000-01-12,0.02248307951546691,1.0105679812362556,-2.0331724572171517,-2.5542622513361666
2000-01-13,0.7661303413636265,2.363994680983775,-2.0972544019087387,-2.7954017807891063
2000-01-14,0.16304241384039275,2.299870101802414,-2.4884183578306165,-4.610601273541267
2000-01-15,-1.3759074753249039,2.8988819877879464,-2.460954397443935,-4.788809164414836
2000-01-16,-1.6000514896006623,3.5583806639883484,-5.9457444260903145,-7.588653540696077
2000-01-17,-2.5943738337417392,3.194902646177081,-5.88464397335088,-8.82757476511345
2000-01-18,-3.0369819107079783,4.129366705208901,-4.485186153966817,-8.58369759734249
2000-01-19,-2.8161237818844547,3.7959444425042066,-2.4733337929402897,-8.185515563735926
2000-01-20,-2.880707255026246,3.1771112022811803,-3.5996314781748113,-8.319451882282353
2000-01-21,-2.132237028175838,1.444116458665116,-3.4383328823761277,-9.336147231419453
2000-01-22,-3.596502681752634,2.6836926791317772,-3.413127119195216,-9.311351008002505
2000-01-23,-2.1973154406482704,2.228722270746404,-4.272103213918395,-9.776651941718983
2000-01-24,-1.8347640478976919,1.4963181937825558,-4.118996462568961,-10.121254414619742
2000-01-25,-2.1081646224003188,1.308035058403422,-4.038974764472294,-10.004381723789205
2000-01-26,-4.131996613266249,0.8905444352454889,-3.8378019023782484,-10.09459703487909
2000-01-27,-4.297181476236312,-1.4323998403651554,-2.6049119279847748,-9.078434993612074
2000-01-28,-3.8773604352402438,0.7088671506678192,-3.0148709136815963,-8.983024931782554
2000-01-29,-4.214556599322363,0.5423178047828155,-2.251305639235928,-9.578197972911775
2000-01-30,-4.06500383334802,-1.8649304768763133,-2.1234059349796373,-8.093602815965916
2000-01-31,-2.0560882976939707,-1.1689608129244655,-0.9366589688357971,-7.537222541692192
2000-02-01,-1.1571358485652077,-3.172145948434024,-1.3570959364999537,-6.52967484295062
2000-02-02,-1.997920732370976,-0.3933263339001818,-1.0927121712919998,-4.752226799424383
2000-02-03,-2.6735739776416065,-0.15539208520059525,-0.46614828163138555,-4.903928795721297
2000-02-04,-2.743004640165855,0.9640133428433926,-0.894461616570347,-5.40189604493473
2000-02-05,-2.191059402770566,2.057526834779574,-1.8793045045720205,-4.3588327545383185
2000-02-06,-1.8063611714975818,2.4004711554256115,-0.6660439940508784,-3.78941036132468
2000-02-07,-0.3893553285938567,2.2092765527477987,-1.0662733557099686,-2.5301472866479116
2000-02-08,-1.398533340592695,2.949363072058593,-0.9814072942688569,-3.2218276489959288
2000-02-09,-2.363093942303963,3.312695532177459,-4.249603071815014,-2.5292080318777144
2000-02-10,-1.8397724666600792,3.1147394215615365,-4.576716685091672,-2.917466708482536
2000-02-11,-1.0858065482769201,3.7147125992306753,-5.090459964584386,-1.9557097742680776
2000-02-12,-0.9149196077290265,3.939025913457739,-4.761586250949706,-0.7132860761586015
2000-02-13,-1.7766501250572835,1.8217990963009916,-4.791700232053491,-3.2056068491474
2000-02-14,-1.9049282352840509,2.1576534357036126,-5.171154079556079,-2.523899599759876
2000-02-15,-0.522559024897608,2.5911129625984626,-4.61072461195808,-1.9270346874405428
2000-02-16,-1.2714317639521309,2.963157798087418,-3.4143731013957543,-2.1804901369615854
2000-02-17,-2.6533115040329145,2.465479938754321,-4.097233755597073,-3.4052031469116733
2000-02-18,-4.332908010267964,-0.2936457161693453,-5.672608498817875,-3.0711946302138493
2000-02-19,-5.877446551370861,-0.8319250574327008,-4.921211016025879,-4.9985019484258615
2000-02-20,-5.216847867987333,-3.3175748344280813,-5.54388059835068,-5.603661797803272
2000-02-21,-4.746398495876044,-3.4694613847205695,-6.65136852733791,-5.915634442346185
2000-02-22,-4.759650672000585,-1.9967894539845434,-6.5777234009566135,-6.3412362226896954
2000-02-23,-3.0702033542465363,-1.7047259135506287,-5.565809878077462,-6.195140562358614
2000-02-24,-3.4562293511786595,-1.7753002363829455,-5.848676425242214,-7.471965495817654
2000-02-25,-2.4436644427671137,-1.5921190843771862,-7.569339815616322,-7.642433597419614
2000-02-26,-1.6578720603650305,-1.7982013325625568,-8.496103349306136,-7.822612844665566
2000-02-27,-2.8226207136268133,-0.46302421980663855,-9.238761575906102,-8.929786882514398
2000-02-28,-2.6174883749628832,-0.542657446848897,-10.821495200295942,-6.364485334274333
2000-02-29,-1.2346560170802228,-0.32282955932546953,-10.816277079401694,-7.906417801416499
2000-03-01,-1.4350819166654782,0.5784563687107199,-10.564573385504442,-9.695244920617075
2000-03-02,-2.0859774465416305,0.6332206470460513,-10.495533694057189,-9.939800216238671
2000-03-03,-0.02220037311402434,2.010147040025599,-10.405141740763975,-11.221733251694822
2000-03-04,1.4027158396376134,3.2929650353821702,-10.113060108663312,-10.794488566749479
2000-03-05,4.046757373858638,3.9628886060342574,-9.251618834557354,-12.35132755518107
2000-03-06,2.4958625306651165,2.1148075986290453,-10.631737184905008,-12.38436515571255
2000-03-07,2.901348351539725,1.7758739421768275,-9.628775547055504,-11.577436208880393
2000-03-08,3.889863372568316,1.5558898161041053,-8.399446056071655,-11.423168329588766
2000-03-09,3.058861191759158,2.120256010969009,-9.01721036590387,-9.0870670024401
2000-03-10,3.1655491864980583,1.3931189385801748,-9.094729663316068,-11.07914307552273
2000-03-11,3.9686312963758548,2.0370786972724244,-7.8744195112115305,-10.355592766112034
2000-03-12,3.2004908789952453,1.1320606881737425,-6.98412871354846,-10.036761640759334
2000-03-13,2.8119603873788095,1.7734991992258542,-7.58817814382727,-11.063330475370005
2000-03-14,3.196698700075277,2.216561011159747,-7.851937988985909,-11.994949440261667
2000-03-15,3.8447144896204954,3.847459693302008,-7.165439942327358,-12.337509767391829
2000-03-16,2.9411592860766067,3.693906133921077,-7.338162544862304,-11.509038610207147
2000-03-17,3.8731137725129905,4.269397404372729,-7.915529306206336,-12.208542805852657
2000-03-18,3.6078659149767756,4.322042346314914,-8.339734858954966,-14.016300899241786
2000-03-19,3.434958359125092,4.858620818723833,-8.842496960973437,-12.76419758870461
2000-03-20,4.029619558642296,4.276004954757196,-9.549866821247585,-13.292995247446514
2000-03-21,4.181204255126903,3.9528379511401353,-9.840112460693128,-13.483490268080663
2000-03-22,3.9935243797369746,2.105474646060797,-11.511824993540234,-13.06749019487973
2000-03-23,4.156640436698245,2.7466628899335785,-11.811660889685706,-12.50998126027346
2000-03-24,6.82818153730598,2.4836675348011616,-11.300893985170372,-11.27719466242905
2000-03-25,6.368112656993198,1.5584187356287476,-13.200234123319076,-9.872926499704118
2000-03-26,9.286078165559815,1.719873540890125,-13.125133459069243,-10.033827379180249
2000-03-27,8.170444792089597,2.83581403111849,-11.694529300304294,-11.801959713545118
2000-03-28,7.636754918738367,3.2662602711630977,-11.682446185134115,-11.09988372155889
2000-03-29,8.331365090448942,1.881476360912548,-11.343841827648179,-11.366460466835083
2000-03-30,9.318013196982196,2.5828461888652994,-10.911236840426348,-12.740171394663067
2000-03-31,8.404609288846297,1.722152301940941,-11.183712415083848,-12.692014273652283
2000-04-01,9.251137286736766,1.6619733542184432,-11.670737928697239,-14.003021154025138
2000-04-02,9.983521857909082,1.9330381187716008,-10.589451687913463,-14.079014765724851
2000-04-03,10.630577097585103,2.9350708230751588,-9.849028457583374,-13.97605645873817
2000-04-04,9.882641884608022,4.410007051969972,-9.75933220920534,-14.066329116142558
2000-04-05,8.116508838385936,3.8910494652965553,-10.172460495660525,-14.134995363857348
2000-04-06,9.963177865694616,4.018371777385971,-10.746164938078083,-15.238357954840733
2000-04-07,8.945761319397217,3.9391297498249935,-10.61604689249476,-14.411155123423528
2000-04-08,8.308373300369984,4.4581580390161095,-9.416808428680545,-13.94419683924165
2000-04-09,8.349331588900775,4.783483272510708,-9.455141279514828,-14.257618151376274
2000-04-10,7.938075111263612,4.300305188740036,-10.394249625170376,-15.047323722709331
2000-04-11,7.166056023049559,4.567052220801812,-10.012433566403864,-17.417091176821128
2000-04-12,7.505629357327531,3.6538509160045947,-8.403242197033673,-16.236536876695013
2000-04-13,6.5555081464847955,5.105673134663891,-8.611924447655618,-16.267878833663797
2000-04-14,6.130264076054321,5.250070649258551,-8.404702306260726,-16.355723281679154
2000-04-15,5.083736099955052,4.4955843720911615,-7.652426792509213,-16.13541907852451
2000-04-16,4.851962315813473,4.879533620828555,-7.4153088514862295,-15.853680523234075
2000-04-17,3.2029953646785074,4.514740591126218,-7.38060744684513,-18.30352274954018
2000-04-18,3.5242648158831837,4.345674160296075,-7.126251143666906,-15.64606109169472
2000-04-19,3.5461023689952627,4.300598110450826,-8.324387754481068,-14.1000766234076
2000-04-20,2.90597289608222,4.857350972486021,-9.378689517542691,-14.187848269054602
2000-04-21,3.9540902190912033,6.520752651893721,-8.951316940706453,-11.812455915013086
2000-04-22,3.8250089553528235,5.459847425339465,-9.467084469170265,-11.03667608734798
2000-04-23,4.2632706853038735,3.267733308551152,-8.916959964062203,-10.594032445817145
2000-04-24,4.370760825728253,3.3045235886347117,-9.417585959823167,-9.234350290338657
2000-04-25,3.9710750813769105,2.5030378605330488,-8.194774554447998,-10.708241272968014
2000-04-26,3.4213477236196264,1.6249993422972615,-9.193663457335477,-9.479391301230363
2000-04-27,3.2255580868487073,1.736156326258082,-10.00385133207273,-9.511580433742125
2000-04-28,3.281490015466336,1.9173127155458893,-7.739452325658126,-9.908014280618238
2000-04-29,2.2730818125476637,2.6346476551423166,-8.190904233358792,-9.615113346507805
2000-04-30,3.6758713113115693,2.357949956882468,-6.9336599921798765,-8.524488633721049
2000-05-01,2.0962274800168466,3.2491777866161784,-7.3721246960520554,-8.797520707195376
2000-05-02,-0.1467061413138553,4.275827573260416,-8.704697195541229,-7.860548148290737
2000-05-03,0.10080376249346479,5.9084626517135295,-9.811437304470068,-6.979303674187957
2000-05-04,0.2508857545983558,5.281182139276332,-10.95990833016768,-7.138019337537438
2000-05-05,-0.3454251859548203,4.658648683156995,-11.566264602592181,-8.455300384900749
2000-05-06,-1.0052717273265226,4.388701240346488,-11.742074623555382,-8.916879938642438
2000-05-07,-0.729123265008446,6.917891596429476,-9.215840991781928,-8.959844818746248
2000-05-08,-1.2739175447824191,7.808247105589223,-9.426563457281333,-8.604878999972106
