,Variable,Description,Type,Segment,Expectation,Conclusion
0,SalePrice,the property's sale price in dollars. This is the target variable that you're trying to predict.,int64,,,
1,MSSubClass, The building class,int64,,,
2,MSZoning, The general zoning classification,object,,,
3,LotFrontage, Linear feet of street connected to property,float64,,,
4,LotArea, Lot size in square feet,int64,,,
5,Street, Type of road access,object,,,
6,Alley, Type of alley access,object,,,
7,LotShape, General shape of property,object,,,
8,LandContour, Flatness of the property,object,,,
9,Utilities, Type of utilities available,object,,,
10,LotConfig, Lot configuration,object,,,
11,LandSlope, Slope of property,object,,,
12,Neighborhood, Physical locations within Ames city limits,object,,,
13,Condition1, Proximity to main road or railroad,object,,,
14,Condition2, Proximity to main road or railroad (if a second is present),object,,,
15,BldgType, Type of dwelling,object,,,
16,HouseStyle, Style of dwelling,object,,,
17,OverallQual, Overall material and finish quality,int64,,,
18,OverallCond, Overall condition rating,int64,,,
19,YearBuilt, Original construction date,int64,,,
20,YearRemodAdd, Remodel date,int64,,,
21,RoofStyle, Type of roof,object,,,
22,RoofMatl, Roof material,object,,,
23,Exterior1st, Exterior covering on house,object,,,
24,Exterior2nd, Exterior covering on house (if more than one material),object,,,
25,MasVnrType, Masonry veneer type,object,,,
26,MasVnrArea, Masonry veneer area in square feet,float64,,,
27,ExterQual, Exterior material quality,object,,,
28,ExterCond, Present condition of the material on the exterior,object,,,
29,Foundation, Type of foundation,object,,,
30,BsmtQual, Height of the basement,object,,,
31,BsmtCond, General condition of the basement,object,,,
32,BsmtExposure, Walkout or garden level basement walls,object,,,
33,BsmtFinType1, Quality of basement finished area,object,,,
34,BsmtFinSF1, Type 1 finished square feet,int64,,,
35,BsmtFinType2, Quality of second finished area (if present),object,,,
36,BsmtFinSF2, Type 2 finished square feet,int64,,,
37,BsmtUnfSF, Unfinished square feet of basement area,int64,,,
38,TotalBsmtSF, Total square feet of basement area,int64,,,
39,Heating, Type of heating,object,,,
40,HeatingQC, Heating quality and condition,object,,,
41,CentralAir, Central air conditioning,object,,,
42,Electrical, Electrical system,object,,,
43,1stFlrSF, First Floor square feet,int64,,,
44,2ndFlrSF, Second floor square feet,int64,,,
45,LowQualFinSF, Low quality finished square feet (all floors),int64,,,
46,GrLivArea, Above grade (ground) living area square feet,int64,,,
47,BsmtFullBath, Basement full bathrooms,int64,,,
48,BsmtHalfBath, Basement half bathrooms,int64,,,
49,FullBath, Full bathrooms above grade,int64,,,
50,HalfBath, Half baths above grade,int64,,,
51,KitchenQual, Kitchen quality,object,,,
52,TotRmsAbvGrd, Total rooms above grade (does not include bathrooms),int64,,,
53,Functional, Home functionality rating,object,,,
54,Fireplaces, Number of fireplaces,int64,,,
55,FireplaceQu, Fireplace quality,object,,,
56,GarageType, Garage location,object,,,
57,GarageYrBlt, Year garage was built,float64,,,
58,GarageFinish, Interior finish of the garage,object,,,
59,GarageCars, Size of garage in car capacity,int64,,,
60,GarageArea, Size of garage in square feet,int64,,,
61,GarageQual, Garage quality,object,,,
62,GarageCond, Garage condition,object,,,
63,PavedDrive, Paved driveway,object,,,
64,WoodDeckSF, Wood deck area in square feet,int64,,,
65,OpenPorchSF, Open porch area in square feet,int64,,,
66,EnclosedPorch, Enclosed porch area in square feet,int64,,,
67,3SsnPorch, Three season porch area in square feet,int64,,,
68,ScreenPorch, Screen porch area in square feet,int64,,,
69,PoolArea, Pool area in square feet,int64,,,
70,PoolQC, Pool quality,object,,,
71,Fence, Fence quality,object,,,
72,MiscFeature, Miscellaneous feature not covered in other categories,object,,,
73,MiscVal, $Value of miscellaneous feature,int64,,,
74,MoSold, Month Sold,int64,,,
75,YrSold, Year Sold,int64,,,
76,SaleType, Type of sale,object,,,
77,SaleCondition, Condition of sale,object,,,
